timestamp,elapsed_s,linear_x,angular_z
1773717199.333,14.43,0.2000,0.0000
1773717199.366,14.46,0.2000,0.0000
1773717199.405,14.50,0.2000,0.0000
1773717199.438,14.54,0.2000,0.0000
1773717199.490,14.59,0.2000,0.0000
1773717199.512,14.61,0.2000,0.0000
1773717199.553,14.65,0.2000,0.0000
1773717199.596,14.70,0.2000,0.0000
1773717199.619,14.72,0.2000,0.0000
1773717199.683,14.78,0.2000,0.0000
1773717199.719,14.82,0.2000,0.0000
1773717199.735,14.83,0.2000,0.0000
1773717199.771,14.87,0.2000,0.0000
1773717199.793,14.89,0.2000,0.0000
1773717199.837,14.94,0.2000,0.0000
1773717199.867,14.97,0.2000,0.0000
1773717199.907,15.01,0.2000,0.0000
1773717199.939,15.04,0.2000,0.0000
1773717199.975,15.07,0.2000,0.0000
1773717200.016,15.11,0.2000,0.0000
1773717200.074,15.17,0.2000,0.0000
1773717200.102,15.20,0.2000,0.0000
1773717200.153,15.25,0.2000,0.0000
1773717200.182,15.28,0.2000,0.0000
1773717200.219,15.32,0.2000,0.0000
1773717200.275,15.37,0.2000,0.0000
1773717200.309,15.41,0.2000,0.0000
1773717200.358,15.46,0.2000,0.0000
1773717200.385,15.48,0.2000,0.0000
1773717200.446,15.55,0.2000,0.0000
1773717200.494,15.59,0.2000,0.0000
1773717200.537,15.64,0.2000,0.0000
1773717200.573,15.67,0.2000,0.0000
1773717200.613,15.71,0.2000,0.0000
1773717200.649,15.75,0.2000,0.0000
1773717200.692,15.79,0.1400,0.2500
1773717200.735,15.83,0.1400,0.2500
1773717200.756,15.86,0.2000,0.0000
1773717200.793,15.89,0.2000,0.0000
1773717200.850,15.95,0.1400,-0.2500
1773717200.882,15.98,0.2000,0.0000
1773717200.926,16.03,0.2000,0.0000
1773717200.989,16.09,0.2000,0.0000
1773717201.011,16.11,0.2000,0.0000
1773717201.037,16.14,0.2000,0.0000
1773717201.100,16.20,0.2000,0.0000
1773717201.143,16.24,0.2000,0.0000
1773717201.165,16.26,0.2000,0.0000
1773717201.218,16.32,0.2000,0.0000
1773717201.251,16.35,0.2000,0.0000
1773717201.285,16.38,0.2000,0.0000
1773717201.326,16.42,0.2000,0.0000
1773717201.365,16.46,0.2000,0.0000
1773717201.397,16.50,0.2000,0.0000
1773717201.428,16.53,0.1400,0.2500
1773717201.464,16.56,0.1400,0.2500
1773717201.507,16.61,0.1400,0.2500
1773717201.541,16.64,0.1400,0.2500
1773717201.589,16.69,0.1400,0.2500
1773717201.628,16.73,0.1400,0.2500
1773717201.659,16.76,0.2000,0.0000
1773717201.708,16.81,0.2000,0.0000
1773717201.761,16.86,0.2000,0.0000
1773717201.802,16.90,0.2000,0.0000
1773717201.842,16.94,0.2000,0.0000
1773717201.889,16.99,0.2000,0.0000
1773717201.926,17.03,0.2000,0.0000
1773717201.963,17.06,0.2000,0.0000
1773717202.013,17.11,0.2000,0.0000
1773717202.029,17.13,0.2000,0.0000
1773717202.082,17.18,0.2000,0.0000
1773717202.104,17.20,0.2000,0.0000
1773717202.146,17.25,0.2000,0.0000
1773717202.198,17.30,0.2000,0.0000
1773717202.225,17.32,0.2000,0.0000
1773717202.261,17.36,0.2000,0.0000
1773717202.323,17.42,0.2000,0.0000
1773717202.361,17.46,0.2000,0.0000
1773717202.402,17.50,0.2000,0.0000
1773717202.430,17.53,0.2000,0.0000
1773717202.460,17.56,0.2000,0.0000
1773717202.519,17.62,0.2000,0.0000
1773717202.578,17.68,0.2000,0.0000
1773717202.621,17.72,0.2000,0.0000
1773717202.649,17.75,0.2000,0.0000
1773717202.700,17.80,0.2000,0.0000
1773717202.783,17.88,0.2000,0.0000
1773717202.803,17.90,0.2000,0.0000
1773717202.855,17.95,0.2000,0.0000
1773717202.914,18.01,0.2000,0.0000
1773717202.930,18.03,0.2000,0.0000
