timestamp,elapsed_s,num_detections,det_classes,det_confidences,det_areas,det_center_xs,det_center_ys
1773717234.389,49.49,0,,,,,
1773717234.409,49.51,0,,,,,
1773717234.465,49.56,0,,,,,
1773717234.501,49.60,0,,,,,
1773717234.526,49.62,0,,,,,
1773717234.562,49.66,0,,,,,
1773717234.592,49.69,0,,,,,
1773717234.643,49.74,0,,,,,
1773717234.675,49.77,0,,,,,
1773717234.709,49.81,0,,,,,
1773717234.742,49.84,0,,,,,
1773717234.776,49.88,0,,,,,
1773717234.800,49.90,0,,,,,
1773717234.861,49.96,0,,,,,
1773717234.894,49.99,0,,,,,
1773717234.930,50.03,0,,,,,
1773717234.962,50.06,0,,,,,
1773717235.009,50.11,0,,,,,
1773717235.036,50.13,0,,,,,
1773717235.072,50.17,0,,,,,
1773717235.101,50.20,0,,,,,
1773717235.155,50.25,0,,,,,
1773717235.220,50.32,0,,,,,
1773717235.244,50.34,0,,,,,
1773717235.288,50.39,0,,,,,
1773717235.319,50.42,0,,,,,
1773717235.358,50.46,0,,,,,
1773717235.384,50.48,0,,,,,
1773717235.433,50.53,0,,,,,
1773717235.468,50.57,0,,,,,
1773717235.508,50.61,0,,,,,
1773717235.560,50.66,0,,,,,
1773717235.611,50.71,0,,,,,
1773717235.619,50.72,0,,,,,
1773717235.695,50.79,0,,,,,
1773717235.745,50.84,0,,,,,
1773717235.762,50.86,0,,,,,
1773717235.790,50.89,0,,,,,
1773717235.856,50.96,0,,,,,
1773717235.864,50.96,0,,,,,
1773717235.899,51.00,0,,,,,
1773717235.932,51.03,0,,,,,
1773717235.973,51.07,0,,,,,
1773717236.006,51.10,0,,,,,
1773717236.055,51.15,0,,,,,
1773717236.107,51.21,0,,,,,
1773717236.153,51.25,0,,,,,
1773717236.211,51.31,0,,,,,
1773717236.246,51.35,0,,,,,
1773717236.275,51.37,0,,,,,
1773717236.327,51.43,0,,,,,
1773717236.367,51.47,0,,,,,
1773717236.418,51.52,0,,,,,
1773717236.455,51.55,0,,,,,
1773717236.481,51.58,0,,,,,
1773717236.517,51.62,0,,,,,
1773717236.567,51.67,0,,,,,
1773717236.605,51.70,0,,,,,
1773717236.643,51.74,0,,,,,
1773717236.697,51.80,0,,,,,
1773717236.722,51.82,0,,,,,
1773717236.757,51.86,0,,,,,
1773717236.843,51.94,0,,,,,
1773717236.861,51.96,0,,,,,
1773717236.890,51.99,0,,,,,
1773717236.938,52.04,0,,,,,
1773717236.973,52.07,0,,,,,
1773717237.000,52.10,0,,,,,
1773717237.049,52.15,0,,,,,
1773717237.082,52.18,0,,,,,
1773717237.139,52.24,0,,,,,
1773717237.176,52.28,0,,,,,
1773717237.214,52.31,0,,,,,
1773717237.248,52.35,0,,,,,
1773717237.286,52.39,0,,,,,
1773717237.317,52.42,0,,,,,
1773717237.357,52.46,0,,,,,
1773717237.388,52.49,0,,,,,
1773717237.446,52.55,0,,,,,
1773717237.470,52.57,0,,,,,
1773717237.531,52.63,0,,,,,
1773717237.560,52.66,0,,,,,
1773717237.606,52.71,0,,,,,
1773717237.630,52.73,0,,,,,
1773717237.666,52.76,0,,,,,
1773717237.692,52.79,0,,,,,
1773717237.735,52.83,0,,,,,
1773717237.756,52.86,0,,,,,
1773717237.817,52.92,0,,,,,
1773717237.835,52.93,0,,,,,
1773717237.879,52.98,0,,,,,
1773717237.923,53.02,0,,,,,
1773717237.960,53.06,0,,,,,
1773717237.988,53.09,0,,,,,
1773717238.032,53.13,0,,,,,
1773717238.060,53.16,0,,,,,
1773717238.090,53.19,0,,,,,
1773717238.122,53.22,0,,,,,
1773717238.176,53.28,0,,,,,
1773717238.203,53.30,0,,,,,
1773717238.253,53.35,0,,,,,
1773717238.285,53.38,0,,,,,
1773717238.326,53.42,0,,,,,
1773717238.353,53.45,0,,,,,
1773717238.397,53.50,0,,,,,
1773717238.445,53.54,0,,,,,
1773717238.466,53.57,0,,,,,
1773717238.520,53.62,0,,,,,
1773717238.547,53.65,0,,,,,
1773717238.602,53.70,0,,,,,
1773717238.636,53.74,0,,,,,
1773717238.673,53.77,0,,,,,
1773717238.714,53.81,0,,,,,
1773717238.751,53.85,0,,,,,
1773717238.771,53.87,0,,,,,
1773717238.824,53.92,0,,,,,
1773717238.861,53.96,0,,,,,
1773717238.894,53.99,0,,,,,
1773717238.915,54.01,0,,,,,
1773717238.951,54.05,0,,,,,
1773717239.002,54.10,0,,,,,
1773717239.064,54.16,0,,,,,
1773717239.094,54.19,0,,,,,
1773717239.123,54.22,0,,,,,
